id,ime_recepta,ime_uporabnika,vrsta_jedi,dan,mesec,leto,cas_priprave,tezavnost
20215,Pomarančno - čokoladni marmorni kolač,ancii,sladice: pecivo,23,1,2015,60 minut,3
20216,Finski božični piškoti,drejcek,sladice: piškoti,26,1,2015,240 minut,3
20217,Sadna jogurtova strjenka,kuhardenis,predjedi: hladne,27,1,2015,30 minut,2
20218,Pirin narastek z gobicami,barbaraca,priloge: ostalo,27,1,2015,75 minut,1
20219,Špageti s česnom; oljem in čilijem ,sarabande,testenine,30,1,2015,15 minut,1
20220,Ričota,beno71,enolončnice,30,1,2015,150 minut,2
20221,Pasijonkin tiramisu,marta,sladice: ostalo,31,1,2015,60 minut,1
20222,Francoska solata - strjenka,SMARTY1,solate,31,1,2015,240 minut,2
20223,Rižev narastek,zes5ana,sladice: ostalo,31,1,2015,60 minut,2
20224,Napitek za lepši spanec,SMARTY1,napitki: brezalkoholni,31,1,2015,30 minut,1
20225,Peresno lahko pecivo z grškim jogurtom,midvakuhava,sladice: pecivo,2,2,2015,30 minut,2
20226,Indijančki,Frklaa,sladice: pecivo,2,2,2015,120 minut,3
20227,Čokoladni hlebčki,nanastil,sladice: piškoti,2,2,2015,240 minut,2
20228,Nutellčki,marta,sladice: piškoti,2,2,2015,75 minut,2
20229,Moj domači kruhek,White Daisy,kruh,3,2,2015,150 minut,2
20230,Čokoladni kolač,AriadnaXY,sladice: pecivo,3,2,2015,45 minut,1
20231,Limonini kolački,ZvonkaK,sladice: pecivo,3,2,2015,60 minut,2
20232,Pečena svinjska rebrca s šampanjcem,T as Tasty,mesne jedi: svinjina,3,2,2015,90 minut,2
20233,Torta čokoladna mavrica,marta,sladice: torte,4,2,2015,90 minut,3
20234,Pasijonkina pita,marta,sladice: ostalo,4,2,2015,90 minut,2
20235,Slana pita,marta,sirove jedi,4,2,2015,120 minut,3
20236,Kavina torta z ricotto,marta,sladice: torte,5,2,2015,60 minut,1
20237,Piškotki Philadelphija,nanastil,sladice: piškoti,5,2,2015,75 minut,1
20238,Mandljev kruh ,marta,kruh,5,2,2015,60 minut,2
20239,Narastek iz prosene kaše,micimaci,sladice: ostalo,6,2,2015,75 minut,2
20240,Jabolčna torta z orehi; belo čokolado in cimetom ,marta,sladice: torte,6,2,2015,180 minut,3
20241,Pomarančni marmorni kolač,kuharica Sara,sladice: pecivo,6,2,2015,60 minut,2
20242,Medenjaki,zes5ana,sladice: piškoti,10,2,2015,30 minut,2
20243,Fini keksi,zes5ana,sladice: piškoti,10,2,2015,240 minut,2
20244,Čokoladni kolački z avokadom; banano in mandlji  ,Vesna rada peče,sladice: pecivo,11,2,2015,30 minut,2
20245,Presni ''sirni'' namaz,Vesna rada peče,predjedi: namazi,11,2,2015,5 minut,1
20246,Krekerji iz semen,Vesna rada peče,sladice: slano pecivo,11,2,2015,60 minut,2
