id,ime_recepta,vrsta_jedi,dan,mesec,leto,cas_priprave
342,Kokosove rezine,sladice: pecivo,30,10,1999,ni doloèen
343,Kokosovi mafni,sladice: pecivo,1,2,2000,ni doloèen
344,Kolaè s sadjem (brez tehtnice),sladice: torte,7,7,1998,ni doloèen
345,Kompotov puding,ozimnica: kompoti,26,10,1999,ni doloèen
346,Korenèkova halva,sladice: pecivo,1,12,1998,ni doloèen
347,Koruzni peèenjak,sladice: pecivo,27,1,1999,ni doloèen
348,Krompirjeva torta,sladice: torte,13,3,2000,ni doloèen
349,Kraljeve rezine,sladice: piškoti,15,3,2000,ni doloèen
350,Krhki flancati,sladice: ostalo,8,2,1999,ni doloèen
351,Kroglice s pomaranèami,sladice: piškoti,24,1,2000,ni doloèen
352,Kruhova pita,sladice: pecivo,19,5,2000,ni doloèen
353,Kvasenica s skuto in orehi,sladice: torte,24,11,1998,ni doloèen
354,Ledeni èaj,napitki: brezalkoholni,16,7,1998,ni doloèen
355,Lešnikovi piškoti,sladice: piškoti,21,12,1998,ni doloèen
356,Limonini kolaèki,sladice: pecivo,1,11,2000,ni doloèen
358,Makove rezine,sladice: pecivo,29,12,1998,ni doloèen
359,Mandeljev nougat,sladice: piškoti,22,4,1998,ni doloèen
360,Marelièna pena,napitki: brezalkoholni,18,6,1999,ni doloèen
361,Marcipanovi kruhki,sladice: piškoti,27,1,2000,ni doloèen
362,Marmorni kolaè,sladice: pecivo,11,7,2000,ni doloèen
363,Maslene kocke,sladice: pecivo,3,4,2000,ni doloèen
364,Medena rolada,sladice: pecivo,29,11,1999,ni doloèen
365,Medenjaki,sladice: piškoti,22,3,1999,ni doloèen
366,Mince pies,sladice: pecivo,24,11,1998,ni doloèen
367,Munchmallow,sladice: ostalo,12,12,1999,ni doloèen
368,Ocvrti sladoled,sladice: sladoledi,7,8,1998,ni doloèen
369,Ocvrto bezgovo cvetje,sladice: ostalo,9,6,1999,ni doloèen
370,Orehova klobasa,sladice: ostalo,29,12,1999,ni doloèen
371,Orehova pita,sladice: pecivo,28,8,1999,ni doloèen
373,Orehovi rogljièki,sladice: piškoti,7,1,1998,ni doloèen
374,Orehova torta,sladice: torte,14,11,1999,ni doloèen
375,Panama torta,sladice: torte,1,2,2000,ni doloèen
376,Pariške rože,sladice: pecivo,5,4,2000,ni doloèen
377,Peèene banane,sladice: ostalo,29,11,1999,ni doloèen
378,Pehtranova potica,sladice: potice,24,12,1999,180 minut
379,Pešèeni kolaè,sladice: pecivo,29,12,1999,ni doloèen
380,Pijana nevesta,sladice: pecivo,12,7,1999,60 minut
381,Piškoti z makom,sladice: piškoti,21,12,1998,ni doloèen
383,Peèene banane,sladice: pecivo,22,7,1999,ni doloèen
384,Pomaranèna marmelada,sladice: ostalo,6,4,2000,ni doloèen
385,Ponarejene breskve,sladice: piškoti,26,6,1998,ni doloèen
386,Prekmurska gibanica,sladice: ostalo,21,6,2000,ni doloèen
387,Punèeve kocke,sladice: pecivo,7,8,2000,ni doloèen
388,Pustni krofi,sladice: ostalo,8,2,1999,ni doloèen
389,Rabarbarina marmelada,sladice: ostalo,6,4,2000,ni doloèen
390,Rafaelo,sladice: ostalo,22,9,1999,ni doloèen
391,Rafaelo kolaè,sladice: pecivo,30,10,1999,ni doloèen
392,Rahla rolada,sladice: pecivo,16,9,1999,ni doloèen
393,Rižev narastek,sladice: pecivo,2,6,2000,75 minut
394,Riževe palaèinke,sladice: palaèinke,20,12,1997,ni doloèen
395,Rolada,sladice: pecivo,29,11,1999,ni doloèen
396,Rolada,sladice: pecivo,29,11,1999,ni doloèen
397,Rožièev kolaè,sladice: pecivo,29,12,1999,ni doloèen
398,Rumove kroglice,sladice: ostalo,7,6,1999,ni doloèen
399,Rumovo pecivo,sladice: pecivo,19,4,1999,ni doloèen
400,Jernejeva sadna torta s smetano,sladice: torte,8,2,2000,90 minut
